,price
8994,599999.0
45597,1495000.0
56548,799000.0
67683,279000.0
13740,399000.0
30528,691769.0
50244,680000.0
62286,1275000.0
65891,595000.0
60811,250000.0
28121,575000.0
13124,840000.0
55292,1899000.0
34962,119000.0
62746,649900.0
51960,1850000.0
6305,750000.0
54338,915000.0
15348,699999.0
11988,1150000.0
46342,649000.0
46658,868000.0
2655,40000.0
35421,219900.0
54941,550000.0
49882,799000.0
4490,1349000.0
50583,899950.0
35840,230000.0
25149,470900.0
23023,1899000.0
10518,189000.0
18720,1550000.0
43864,649000.0
65917,575000.0
35181,749000.0
20543,699000.0
45867,349000.0
15367,750000.0
37772,620000.0
49043,235000.0
52066,799900.0
43291,249999.0
33440,1125000.0
15718,475000.0
12349,851000.0
46512,749000.0
2759,999000.0
30606,549000.0
47511,580000.0
65679,525000.0
39293,689900.0
23513,729000.0
64081,725000.0
33226,1100000.0
32553,390000.0
