,price
1335923,1249000
1292521,575000
1283597,525000
1287377,645000
1308779,399500
1307453,1995000
1289641,287000
1233116,229000
1288892,1795000
1280746,2850000
1337989,1749000
1333932,1699000
1305217,858000
1310733,260000
1263338,949900
1352795,685000
1266472,995000
1330551,849000
1330330,1799000
1336807,829000
1299305,290000
1300254,329900
1324028,7895000
1292850,2495000
1260485,500000
1269197,799000
1297942,999000
1272389,1181000
1278404,575000
1349768,359000
1350180,889000
1334418,789000
1346797,750000
1261169,899000
1284127,799000
1323736,1499950
1342539,680888
1288633,960000
1346178,225000
1334506,755000
1302993,450000
1263545,949000
1293063,4895000
1328395,3120000
1296785,315000
1290980,1794500
1259571,749000
1350793,669900
1341074,325000
1304362,187500
1299356,510000
1279219,610000
1279783,619900
1257225,1395000
1264710,850000
1257859,515000
1263299,850000
1280150,1299999
1284059,2400000
1287491,724000
1263979,1999500
1307802,2850000
1341879,410000
1259756,1549000
1287948,2500000
1331547,1250000
1258415,2250000
1348674,825000
1337919,975000
1257298,414900
1338904,535000
1335345,379000
1268795,259000
1345458,874000
1316088,305000
1346881,539000
1257410,470000
1311667,259900
1340455,639000
1307121,439000
1280773,939000
1269478,950000
1308709,329000
1258435,1950000
1305288,365000
1351671,1100000
1343399,391460
1302472,430000
1290031,605000
1257604,1550000
1307713,1100000
1356444,399000
1260590,699000
1355552,165000
1276654,535000
1341669,409000
1349704,617999
1262881,1295000
1284786,588900
1333124,1899000
1336517,1199000
1302643,635000
1337313,999950
1265652,595000
1284794,550000
1269568,1950000
1345358,269000
1291348,449000
1257554,2700000
1316975,379000
1276379,895000
1331994,999000
1321643,748500
1312912,500000
1261695,3525000
1308950,265000
1262396,950000
1267257,1899000
1313817,1175000
1319672,410000
1282843,3750000
1347393,1585000
1268871,660000
1311289,585000
1275746,925000
1341155,429900
1279538,455000
1262159,1899999
1324923,489000
1274864,2050000
1353994,370000
1266984,699000
1311653,325000
1350863,932000
1304381,419000
1287826,548000
1349318,599900
1327870,938000
1316529,480000
1267432,3795000
1277752,788888
1326436,645000
1258682,1300000
1291763,1400000
1305218,589000
1310589,350000
1342707,499888
1330241,949000
1356951,295000
1281226,875000
1343362,710398
1253087,510000
1272593,1049800
1258005,700000
1271164,649000
1311580,702000
1300920,769000
1268071,5295000
1338736,449000
1341957,624500
1308212,1795000
1337753,7400000
1306914,1049000
1291345,508000
1266853,699000
1273263,1200000
1265171,950000
1321861,2457000
1326799,1049000
1288487,1400000
1305265,790000
1335060,849950
1283292,3600000
1311529,79000
1305248,815888
1281319,275000
1290424,399000
1305338,1685000
1265010,612000
1287493,850000
1264316,32500000
1274022,4999000
1343139,415000
1266491,864000
1263135,1199000
1344894,255000
1252969,1150000
1311467,659900
1299339,469000
1311382,149777
1274305,725000
1271858,10500000
1258433,3500000
1278035,565000
1347118,977000
1287346,299900
1313726,599000
1302429,560000
1259103,728990
1258643,885000
1313101,430000
1272237,875000
1305231,340000
1257514,565000
1347395,1120000
1279482,759990
1302967,425000
1257176,11900000
1289065,1650000
1332768,989900
1344377,639000
1302962,659900
1351488,350000
1288075,299000
1261430,1599000
1304184,301530
1281592,709990
1325473,1295000
1289939,410000
1347322,599900
1307279,1325000
1271681,795000
1272015,7599000
1290557,647000
1349044,564200
1357774,79000
1309079,224900
1284781,650000
1274706,849900
1293067,1319000
1286557,4395000
1319533,650000
1328313,589000
1267022,539000
1272443,15949000
1325065,5980000
1264376,1550000
1286458,1650000
1347628,230000
1341489,310000
1270708,1950000
1265132,1425000
1339119,1150000
1279952,529000
1351669,799000
1300875,499900
1322424,2298000
1306211,1980000
1283261,4290000
1260724,430000
1341632,899000
1328653,990000
1347076,615000
1276113,1290000
1327177,1099000
1288295,699000
1260501,599000
1321025,596543
1280029,759990
1332141,2098000
1333566,1475000
1349600,585000
1264544,5299000
1293235,239800
1304253,975000
1314153,860000
1299042,429999
1298061,1200000
1290698,6495000
1280787,725000
1287929,1300000
1263294,850000
1312418,849000
1266926,1225000
1351659,449800
1300498,499000
1261553,899000
1335438,2995000
1276914,520000
1271285,1349000
1272189,799000
1264596,2495000
1324462,1450000
1267248,2050000
1348435,575999
1303327,665000
1297640,329900
1310160,1199900
1303681,230000
1358620,2950000
1260168,3780000
1303198,370000
1331162,998500
1281677,335000
1270932,2998000
1280037,679900
1273922,5800000
1279696,439000
1328968,998000
1282763,599900
1300802,395000
1349820,425000
1342352,576000
1339879,795000
1309570,170000
1273689,945000
1317814,409900
1287930,2199000
1329830,2795000
1274584,719000
1296306,550000
1270558,899000
1328408,889000
1282487,650000
1259646,1095000
1257515,695000
1300584,430000
1262937,2995000
1333133,649000
1259305,20800000
1308835,665000
1350169,1149000
1324227,899000
1270403,750000
1283151,2995000
1330101,547777
1281238,330000
1299423,359950
1299111,745000
1278696,679900
1317144,105000
1342491,598000
1303425,469900
1279228,850000
1328230,525000
1290671,469000
1334457,798000
1263450,899900
1262823,555000
1273980,2250000
1293824,799000
1328329,699000
1259908,5850000
1309766,898000
1267019,975000
1301254,490000
1265291,5995000
1315286,435000
1268781,1800000
1342988,399900
1273102,1599000
1284331,1482000
1341854,645000
1323122,499000
1324630,950000
1266396,999000
1268719,419000
1257982,663000
1344431,895000
1263021,1099000
1308808,452266
1291982,125000
1291058,895000
1300311,555000
1328475,700000
1353298,429000
1287434,389000
1320296,350000
1281422,775000
1351487,425000
1351017,1058000
1267215,869000
1343091,355000
1309075,2200000
1273879,1299000
1277100,669900
1311081,528061
1280837,2297700
1297973,609000
1345818,134500
1264228,1099000
1274169,815000
1327128,1049000
1342338,379800
1302022,340000
1354998,517000
1348653,410000
1317179,495000
1270450,1981000
1274895,724800
1346137,5900000
1291486,479000
1349713,700000
1323029,1695000
1297582,361500
1276725,535000
1292484,655000
1345375,898000
1341033,599900
1260018,650000
1303866,115000
1348931,580000
1346817,249000
1292879,269000
1291400,1350000
1342597,345000
1292206,895000
1328239,1500000
1315796,242500
1342200,499990
1310394,389000
1327755,475000
1265965,1995000
1278205,650000
1338162,1449999
1319224,499000
1292137,8900000
1322747,10998000
1263451,4350000
1330634,1111000
1272452,3950000
1263491,3700000
1313315,399000
1342593,375000
1296423,589000
1284828,565000
1321079,563990
1352660,569000
1310353,341565
1276611,735000
1263999,999000
1303245,828000
1332501,875000
1314714,409900
1306510,499000
1280285,679000
1295890,579900
1263682,1150000
1272184,1195000
1349739,539000
1291676,648000
1301034,495000
1307063,719900
1348021,3176000
1328450,895000
1342104,419000
1277885,450000
1303472,650000
1340500,525000
1345335,325000
1338577,299000
1294683,599900
1345480,1999000
1266323,699000
1303024,539000
1289154,1595000
1343188,894900
1316873,385000
1261063,1250000
1265210,2000000
1347127,750000
1304946,1490000
1307375,678000
1281540,649000
1309872,135000
1346748,799000
1353603,1196000
1306177,9349000
1312846,815000
1268985,1500000
1337534,2288000
1352740,1200000
1259173,12960000
1328318,1150000
1333058,1875000
1342622,2900000
1312809,724999
1324318,1499000
1292174,1650000
1305141,377000
1350296,575000
1253905,878000
1264367,1100000
1342181,595000
1291539,250000
1293776,550000
1327173,1295000
1333641,1795000
1336847,1150000
1351462,340000
1333923,3400000
1333411,2098000
1297683,649700
1280964,950000
1299447,185000
1331403,330000
1304674,525000
1277027,875000
1268308,2149000
1317439,399900
1259120,1075000
1266737,1180000
1305433,789000
1322293,989000
1348364,409000
1335915,570000
1296812,389900
1352654,425000
1334803,975000
1335907,899000
1251870,358000
1276723,666000
1350500,565000
1310003,499000
1325583,1099000
1315277,399000
1357801,649900
1263062,899000
1342927,299000
1352282,775000
1332507,850000
1267411,1199900
1286628,692375
1334204,764565
1284149,2899000
1283308,2450000
1350297,1300000
1282859,4100000
1259371,560000
1267223,1150000
1268107,1999000
1337266,1149000
1293542,775000
1352370,849000
1262838,2799000
1318284,335000
1329771,1499999
1306625,999999
1300697,995000
1280978,1100000
1331658,849900
1306074,1125000
1312798,620000
1340404,599000
1337750,1424900
1261386,445000
1341098,635000
1279632,415000
1276541,750000
1310711,320000
1279553,725000
1347805,1099000
1357225,469000
1336125,3600000
1289748,95000
1306145,1790000
1329847,1249888
1336478,649000
1301483,500000
1347940,330000
1341466,849900
1262811,3999999
1276537,650000
1347866,564000
1272477,1399000
1291918,449900
1327862,1395000
1354218,549000
1287854,1499000
1264523,2399000
1327990,1895000
1264839,699000
1321244,500715
1339092,699000
1258529,450000
1345261,440000
1258302,3988888
1268297,7950000
1258685,2450000
1273135,1800000
1352111,649999
1269657,518850
1323426,2988000
1340234,234000
1273706,2290000
1271328,839000
1330182,999888
1348844,589000
1305903,2099900
1323494,998000
1266199,749999
1274189,975000
1328550,775000
1279398,1100000
1264655,3495000
1260433,1795000
1277730,525000
1279656,799500
1348850,824995
1353302,469000
1327704,1295000
1358141,550000
1328953,998000
1302268,624990
1262455,769000
1280178,889900
1273886,970000
1261003,2450000
1344705,598000
1289568,1495000
1273975,1795000
1305189,550000
1305281,1299000
1271342,1299000
1331592,529000
1356839,315000
1331328,999000
1302808,624000
1291749,519000
1300900,425000
